date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,cum_titles_home,cum_runner_up_home,cum_third_home,cum_titles_away,cum_runner_up_away,cum_third_away,tournament_score,elo_home,elo_away,elo_diff,home_last5_wins,home_last5_losses,home_last5_draws,away_last5_wins,away_last5_losses,away_last5_draws,h2h_home_wins,h2h_away_wins,h2h_draw,h2h_diff,result
1916-07-02,Sweden,Norway,6.0,0.0,Friendly,Stockholm,Sweden,False,1916,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1589.4213149008542,1355.559705718034,233.8616091828203,3.0,0.0,2.0,0.0,4.0,1.0,8.0,0.0,2.0,8.0,2.0
1916-07-08,Brazil,Chile,1.0,1.0,Copa América,Buenos Aires,Argentina,True,1916,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1498.7281789077747,1500.0,-1.2718210922253093,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1916-07-10,Argentina,Brazil,1.0,1.0,Copa América,Buenos Aires,Argentina,False,1916,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1501.2718210922253,1494.8226765868992,6.449144505326103,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1916-07-12,Brazil,Uruguay,1.0,2.0,Copa América,Buenos Aires,Argentina,True,1916,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1499.1537683892775,1500.0,-0.8462316107224979,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1916-07-18,Uruguay,Brazil,0.0,1.0,Friendly,Montevideo,Uruguay,False,1916,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1523.9290613724943,1475.2247070167832,48.704354355711075,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0
1916-09-03,Norway,United States,1.0,1.0,Friendly,Kristiania,Norway,False,1916,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1349.2632387222304,1500.0,-150.73676127776957,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1916-10-01,Norway,Sweden,0.0,0.0,Friendly,Kristiania,Norway,False,1916,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1351.5460854133821,1595.7177818966577,-244.17169648327558,0.0,4.0,1.0,4.0,0.0,1.0,0.0,8.0,2.0,-8.0,1.0
1916-10-15,Denmark,Norway,8.0,0.0,Friendly,Copenhagen,Denmark,False,1916,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1541.467801024054,1356.1775252481107,185.29027577594343,3.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,3.0,2.0
1917-06-17,Norway,Denmark,1.0,2.0,Friendly,Kristiania,Norway,False,1917,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1347.2946386457124,1550.3506876264523,-203.0560489807399,0.0,3.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,-4.0,0.0
1917-08-19,Sweden,Norway,3.0,3.0,Friendly,Helsingborg,Sweden,False,1917,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1591.0863420619291,1340.9474444052294,250.13889765669978,3.0,0.0,2.0,0.0,3.0,2.0,7.0,0.0,3.0,7.0,1.0
1917-09-16,Norway,Sweden,0.0,2.0,Friendly,Kristiania,Norway,False,1917,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1348.2131944959362,1583.8205919712223,-235.607397475286,0.0,2.0,3.0,2.0,0.0,3.0,0.0,6.0,4.0,-6.0,0.0
