,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
40645,2017-06-07,Spain,Colombia,2.0,2.0,Friendly,Murcia,Spain,False
40657,2017-06-08,United States,Trinidad and Tobago,2.0,0.0,FIFA World Cup qualification,Commerce City,United States,False
40659,2017-06-09,Argentina,Brazil,1.0,0.0,Superclásico de las Américas,Melbourne,Australia,True
40662,2017-06-09,Estonia,Belgium,0.0,2.0,FIFA World Cup qualification,Tallinn,Estonia,False
40663,2017-06-09,Faroe Islands,Switzerland,0.0,2.0,FIFA World Cup qualification,Tórshavn,Faroe Islands,False
40665,2017-06-09,Latvia,Portugal,0.0,3.0,FIFA World Cup qualification,Riga,Latvia,False
40671,2017-06-09,Sweden,France,2.0,1.0,FIFA World Cup qualification,Solna,Sweden,False
40679,2017-06-10,Cameroon,Morocco,1.0,0.0,African Cup of Nations qualification,Yaoundé,Cameroon,False
40692,2017-06-10,Norway,Czech Republic,1.0,1.0,FIFA World Cup qualification,Oslo,Norway,False
40694,2017-06-10,Scotland,England,2.0,2.0,FIFA World Cup qualification,Glasgow,Scotland,False
40714,2017-06-11,North Macedonia,Spain,1.0,2.0,FIFA World Cup qualification,Skopje,North Macedonia,False
40715,2017-06-11,Mexico,United States,1.0,1.0,FIFA World Cup qualification,Mexico City,Mexico,False
40720,2017-06-11,Tunisia,Egypt,1.0,0.0,African Cup of Nations qualification,Radès,Tunisia,False
40727,2017-06-13,Cameroon,Colombia,0.0,4.0,Friendly,Getafe,Spain,True
40731,2017-06-13,France,England,3.0,2.0,Friendly,Saint-Denis,France,False
40739,2017-06-13,Norway,Sweden,1.0,1.0,Friendly,Oslo,Norway,False
40745,2017-06-13,Singapore,Argentina,0.0,6.0,Friendly,Kallang,Singapore,False
40757,2017-06-18,Portugal,Mexico,2.0,2.0,Confederations Cup,Kazan,Russia,True
40760,2017-06-21,Russia,Portugal,0.0,1.0,Confederations Cup,Moscow,Russia,False
40765,2017-06-24,New Zealand,Portugal,0.0,4.0,Confederations Cup,Saint Petersburg,Russia,True
40801,2017-06-28,Portugal,Chile,0.0,0.0,Confederations Cup,Kazan,Russia,True
40825,2017-07-01,United States,Ghana,2.0,1.0,Friendly,East Hartford,United States,False
40827,2017-07-02,Portugal,Mexico,2.0,1.0,Confederations Cup,Moscow,Russia,True
40846,2017-07-08,United States,Panama,1.0,1.0,Gold Cup,Nashville,United States,False
40853,2017-07-12,United States,Martinique,3.0,2.0,Gold Cup,Tampa,United States,False
40860,2017-07-15,United States,Nicaragua,3.0,0.0,Gold Cup,Cleveland,United States,False
40866,2017-07-19,United States,El Salvador,2.0,0.0,Gold Cup,Philadelphia,United States,False
40869,2017-07-22,United States,Costa Rica,2.0,0.0,Gold Cup,Arlington,United States,False
40872,2017-07-26,United States,Jamaica,2.0,1.0,Gold Cup,Santa Clara,United States,False
40887,2017-08-31,Belgium,Gibraltar,9.0,0.0,FIFA World Cup qualification,Liège,Belgium,False
40893,2017-08-31,France,Netherlands,4.0,0.0,FIFA World Cup qualification,Saint-Denis,France,False
40903,2017-08-31,Portugal,Faroe Islands,5.0,1.0,FIFA World Cup qualification,Porto,Portugal,False
40905,2017-08-31,Switzerland,Andorra,3.0,0.0,FIFA World Cup qualification,St. Gallen,Switzerland,False
40908,2017-08-31,Uganda,Egypt,1.0,0.0,FIFA World Cup qualification,Kampala,Uganda,False
40909,2017-08-31,Uruguay,Argentina,0.0,0.0,FIFA World Cup qualification,Montevideo,Uruguay,False
40910,2017-08-31,Venezuela,Colombia,0.0,0.0,FIFA World Cup qualification,San Cristóbal,Venezuela,False
40918,2017-09-01,Malta,England,0.0,4.0,FIFA World Cup qualification,Attard,Malta,False
